slug,title,year,importance,theme,subtheme,citationCount,status,text_path,text_source,text_chars,truncated_for_model,error
generative-artificial-intelligence-in-the-electoral-processes-of-2024-in-98908c44de,Generative artificial intelligence in the electoral processes of 2024 in the world: disinformation campaigns and online trolls,2024,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,3,extracted,data/paper_cache/text/generative-artificial-intelligence-in-the-electoral-processes-of-2024-in-98908c44de.txt,html,20963,False,
generative-echo-chamber-effect-of-llm-powered-search-systems-on-018642915b,Generative Echo Chamber? Effect of LLM-Powered Search Systems on Diverse Information Seeking,2024,Important,"Politics, Democracy, Public Opinion, and Persuasion","Deliberation, persuasion, and information environments",171,abstract_only,data/paper_cache/text/generative-echo-chamber-effect-of-llm-powered-search-systems-on-018642915b.txt,abstract_missing_download,1107,False,download_missing; abstract fallback
generative-exaggeration-in-llm-social-agents-consistency-bias-and-toxicity-68a9bb271e,"Generative Exaggeration in LLM Social Agents: Consistency, Bias, and Toxicity",2025,Watchlist,Peripheral and Borderline Materials,Generic AI safety and language-bias background,8,extracted,data/paper_cache/text/generative-exaggeration-in-llm-social-agents-consistency-bias-and-toxicity-68a9bb271e.txt,pdf_pypdf,74436,True,
generative-language-models-and-automated-influence-operations-emerging-threats-a-7cc58f947c,Generative Language Models and Automated Influence Operations: Emerging Threats and Potential Mitigations,2023,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,317,extracted,data/paper_cache/text/generative-language-models-and-automated-influence-operations-emerging-threats-a-7cc58f947c.txt,pdf_pypdf,120000,True,
generative-social-choice-c2990fac76,Generative Social Choice,2023,Curated,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,62,extracted,data/paper_cache/text/generative-social-choice-c2990fac76.txt,pdf_pypdf,120000,True,
gensim-a-general-social-simulation-platform-with-large-language-model-cde2b7ac95,GenSim: A General Social Simulation Platform with Large Language Model based Agents,2024,Curated,Multi-Agent Social Simulation and Synthetic Societies,Generative agents and social simulation platforms,41,extracted,data/paper_cache/text/gensim-a-general-social-simulation-platform-with-large-language-model-cde2b7ac95.txt,pdf_pypdf,28203,False,
geoeconomic-pressure-bbdf5d224c,Geoeconomic Pressure,n.d.,Core,"Forecasting, Geopolitical Risk, and Foresight",Geoeconomic and geopolitical risk signals,1,extracted,data/paper_cache/text/geoeconomic-pressure-bbdf5d224c.txt,html,3852,False,
get-out-the-vote-determining-support-or-opposition-from-congressional-f3a3e1d602,Get out the vote: Determining support or opposition from Congressional floor-debate transcripts,2006,Core,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,648,extracted,data/paper_cache/text/get-out-the-vote-determining-support-or-opposition-from-congressional-f3a3e1d602.txt,pdf_pypdf,44466,False,
governing-ai-with-trust-an-adaptive-framework-for-institutional-legitimacy-403bbe4575,Governing AI with trust: an adaptive framework for institutional legitimacy in the UK public sector,2025,Curated,"Policymaking, Governance, and Institutional Decision Support","Accountability, auditing, and public-sector AI governance",1,abstract_only,data/paper_cache/text/governing-ai-with-trust-an-adaptive-framework-for-institutional-legitimacy-403bbe4575.txt,abstract_missing_download,2797,False,download_missing; abstract fallback
governing-automated-strategic-intelligence-2ed2a01691,Governing Automated Strategic Intelligence,2025,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",National security applications and doctrine,0,extracted,data/paper_cache/text/governing-automated-strategic-intelligence-2ed2a01691.txt,pdf_pypdf,54068,True,
gtbench-uncovering-the-strategic-reasoning-limitations-of-llms-via-game-17cf08e850,GTBench: Uncovering the Strategic Reasoning Limitations of LLMs via Game-Theoretic Evaluations,2024,Curated,"Strategic Reasoning, Games, Negotiation, and Cooperation",Game-theoretic and strategic reasoning benchmarks,112,extracted,data/paper_cache/text/gtbench-uncovering-the-strategic-reasoning-limitations-of-llms-via-game-17cf08e850.txt,pdf_pypdf,89403,True,
hacking-nuclear-stability-wargaming-technology-uncertainty-and-escalation-3b7e3223c7,"Hacking Nuclear Stability: Wargaming Technology, Uncertainty, and Escalation",2023,Important,"Geopolitics, Diplomacy, National Security, and Wargaming","Conflict, escalation, and geopolitical simulation",10,extracted,data/paper_cache/text/hacking-nuclear-stability-wargaming-technology-uncertainty-and-escalation-3b7e3223c7.txt,pdf_pypdf,104373,True,
hidden-persuaders-llms-political-leaning-and-their-influence-on-voters-72abd744ac,Hidden Persuaders: LLMs’ Political Leaning and Their Influence on Voters,2024,Important,"Politics, Democracy, Public Opinion, and Persuasion","Elections, voters, and campaign discourse",74,extracted,data/paper_cache/text/hidden-persuaders-llms-political-leaning-and-their-influence-on-voters-72abd744ac.txt,pdf_pypdf,120000,True,
hindsight-not-equal-to-foresight-the-effect-of-outcome-knowledge-014815d4ab,Hindsight (Not Equal To) Foresight: The Effect of Outcome Knowledge on Judgment Under Uncertainty.,1975,Core,Political Science and Strategic Judgment Foundations,"Forecasting, hindsight bias, and expert judgment",444,extracted,data/paper_cache/text/hindsight-not-equal-to-foresight-the-effect-of-outcome-knowledge-014815d4ab.txt,html,1479,False,
how-far-are-we-on-the-decision-making-of-llms-cbfbc1d4d7,How Far Are We on the Decision-Making of LLMs? Evaluating LLMs' Gaming Ability in Multi-Agent Environments,2024,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,67,extracted,data/paper_cache/text/how-far-are-we-on-the-decision-making-of-llms-cbfbc1d4d7.txt,pdf_pypdf,110102,True,
how-strategic-information-operations-affect-peacekeeping-two-case-studies-from-bed4ba52ae,How Strategic Information Operations Affect Peacekeeping: Two Case Studies from the Central African Republic,2025,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,2,abstract_only,data/paper_cache/text/how-strategic-information-operations-affect-peacekeeping-two-case-studies-from-bed4ba52ae.txt,abstract_missing_download,1295,False,download_missing; abstract fallback
how-to-analyze-political-attention-with-minimal-assumptions-and-costs-200c6d6e86,How to Analyze Political Attention with Minimal Assumptions and Costs,2010,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,703,missing_download,,,0,False,download_missing
how-to-train-your-stochastic-parrot-large-language-models-for-e28f739e41,How to train your stochastic parrot: large language models for political texts,2025,Curated,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,57,extracted,data/paper_cache/text/how-to-train-your-stochastic-parrot-large-language-models-for-e28f739e41.txt,pdf_pypdf,59042,True,
how-well-can-ai-do-strategy-empirical-benchmarking-using-strategy-7437b38dc8,How Well Can AI Do Strategy? Empirical Benchmarking Using Strategy Simulations,2026,Watchlist,Peripheral and Borderline Materials,Business and managerial strategy,2,abstract_only,data/paper_cache/text/how-well-can-ai-do-strategy-empirical-benchmarking-using-strategy-7437b38dc8.txt,abstract_missing_download,2433,False,download_missing; abstract fallback
human-preferences-in-large-language-model-latent-space-a-technical-2518c6b200,Human Preferences in Large Language Model Latent Space: A Technical Analysis on the Reliability of Synthetic Data in Voting Outcome Prediction,2025,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,4,extracted,data/paper_cache/text/human-preferences-in-large-language-model-latent-space-a-technical-2518c6b200.txt,pdf_pypdf,54335,True,
human-ai-interactions-in-public-sector-decision-making-automation-bias-95590a2a61,"Human-AI Interactions in Public Sector Decision-Making:""Automation Bias""and""Selective Adherence""to Algorithmic Advice",2021,Important,"Policymaking, Governance, and Institutional Decision Support",Public-sector decision support and institutional workflow,256,extracted,data/paper_cache/text/human-ai-interactions-in-public-sector-decision-making-automation-bias-95590a2a61.txt,pdf_pypdf,103982,True,
human-level-play-in-the-game-of-diplomacy-by-combining-61bd3a96ea,Human-level play in the game of Diplomacy by combining language models with strategic reasoning,2022,Important,"Geopolitics, Diplomacy, National Security, and Wargaming",Diplomacy and international institutions,548,extracted,data/paper_cache/text/human-level-play-in-the-game-of-diplomacy-by-combining-61bd3a96ea.txt,html,4595,False,
human-centered-governance-for-ai-augmented-decision-support-in-public-12fdd696dc,Human‑Centered Governance for AI‑Augmented Decision Support in Public‑Sector Logistics,2025,Watchlist,Peripheral and Borderline Materials,Policy-adjacent service delivery and operations,0,extracted,data/paper_cache/text/human-centered-governance-for-ai-augmented-decision-support-in-public-12fdd696dc.txt,pdf_pypdf,51237,True,
hyperdemocracy-towards-creative-consensus-building-between-humans-and-ai-fc2fdb3e09,Hyperdemocracy: Towards Creative Consensus Building between Humans and AI,2025,Curated,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,0,extracted,data/paper_cache/text/hyperdemocracy-towards-creative-consensus-building-between-humans-and-ai-fc2fdb3e09.txt,html,823,False,
ideology-based-llms-for-content-moderation-00210c7620,Ideology-Based LLMs for Content Moderation,2025,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",1,extracted,data/paper_cache/text/ideology-based-llms-for-content-moderation-00210c7620.txt,pdf_pypdf,98889,True,
ignore-all-previous-instructions-jailbreaking-as-a-de-escalatory-peace-3bf1f9474c,Ignore All Previous Instructions: Jailbreaking as a de-escalatory peace building practise to resist LLM social media bots,2026,Watchlist,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,0,extracted,data/paper_cache/text/ignore-all-previous-instructions-jailbreaking-as-a-de-escalatory-peace-3bf1f9474c.txt,pdf_pypdf,22011,False,
impacts-of-ai-based-anti-corruption-audits-on-risk-aversion-529017e86f,Impacts of AI-based anti-corruption audits on risk aversion in decision-making: a case study of the Brazilian ALICE tool,2024,Curated,"Policymaking, Governance, and Institutional Decision Support","Accountability, auditing, and public-sector AI governance",7,extracted,data/paper_cache/text/impacts-of-ai-based-anti-corruption-audits-on-risk-aversion-529017e86f.txt,html,14220,False,
improving-language-model-negotiation-with-self-play-and-in-context-a2c7b984f6,Improving Language Model Negotiation with Self-Play and In-Context Learning from AI Feedback,2023,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,248,extracted,data/paper_cache/text/improving-language-model-negotiation-with-self-play-and-in-context-a2c7b984f6.txt,pdf_pypdf,46214,False,
improving-the-selection-of-news-reports-for-event-coding-using-2dbd1386e5,Improving the selection of news reports for event coding using ensemble classification,2015,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,34,extracted,data/paper_cache/text/improving-the-selection-of-news-reports-for-event-coding-using-2dbd1386e5.txt,html,4435,False,
informing-human-decision-making-in-public-administration-through-nlp-algorithm-14211b38a4,Informing Human Decision-Making in Public Administration through NLP Algorithm Audits,2025,Curated,"Policymaking, Governance, and Institutional Decision Support","Accountability, auditing, and public-sector AI governance",0,missing_download,,,0,False,download_missing
institutionalizing-predictive-ai-in-public-administration-algorithmic-governance-c0d7a5bf63,Institutionalizing Predictive AI in Public Administration: Algorithmic Governance and the Case of a Wildfire Forecasting System,2026,Curated,"Policymaking, Governance, and Institutional Decision Support","Accountability, auditing, and public-sector AI governance",1,abstract_only,data/paper_cache/text/institutionalizing-predictive-ai-in-public-administration-algorithmic-governance-c0d7a5bf63.txt,abstract_missing_download,1643,False,download_missing; abstract fallback
integrated-data-for-events-analysis-idea-an-event-typology-for-1663fc5425,Integrated Data for Events Analysis (IDEA): An Event Typology for Automated Events Data Development,2003,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,257,missing_download,,,0,False,download_missing
integrating-generative-ai-into-tactical-military-decision-making-015e3e9269,Integrating Generative AI into Tactical Military Decision-Making,2025,Watchlist,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,0,extracted,data/paper_cache/text/integrating-generative-ai-into-tactical-military-decision-making-015e3e9269.txt,html,3630,False,
integrating-llm-in-agent-based-social-simulation-opportunities-and-challenges-bdf4195c0a,Integrating LLM in Agent-Based Social Simulation: Opportunities and Challenges,2025,Curated,"Foundations, Surveys, and Methods",Social simulation and agent-based modeling reviews,7,extracted,data/paper_cache/text/integrating-llm-in-agent-based-social-simulation-opportunities-and-challenges-bdf4195c0a.txt,pdf_pypdf,88311,True,
integrators-at-war-mediating-in-ai-assisted-resort-to-force-7bcddb119d,Integrators at War: Mediating in AI-assisted Resort-to-Force Decisions,2025,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,5,extracted,data/paper_cache/text/integrators-at-war-mediating-in-ai-assisted-resort-to-force-7bcddb119d.txt,pdf_pypdf,58650,True,
intelligence-analysis-a-target-centric-approach-94e1bfaab8,Intelligence Analysis: A Target-Centric Approach,2003,Important,Political Science and Strategic Judgment Foundations,Intelligence analysis and structured analytic techniques,232,abstract_only,data/paper_cache/text/intelligence-analysis-a-target-centric-approach-94e1bfaab8.txt,html,599,False,no extractable text and no abstract
intelligent-computing-social-modeling-and-methodological-innovations-in-politica-134650f91f,Intelligent Computing Social Modeling and Methodological Innovations in Political Science in the Era of Large Language Models,2024,Important,"Foundations, Surveys, and Methods",Political science and computational social science overviews,19,extracted,data/paper_cache/text/intelligent-computing-social-modeling-and-methodological-innovations-in-politica-134650f91f.txt,pdf_pypdf,104277,True,
international-political-bias-in-large-language-models-a-critical-discourse-56ca8ead36,"International political bias in large language models: a critical discourse analysis of narratives in ChatGPT, LLaMA, Gemini, and DeepSeek",2026,Curated,"Politics, Democracy, Public Opinion, and Persuasion",Multilingual and geopolitical bias,0,extracted,data/paper_cache/text/international-political-bias-in-large-language-models-a-critical-discourse-56ca8ead36.txt,pdf_pypdf,66760,True,
john-vs-ahmed-debate-induced-bias-in-multilingual-llms-867322b33a,John vs. Ahmed: Debate-Induced Bias in Multilingual LLMs,2024,Curated,"Politics, Democracy, Public Opinion, and Persuasion",Multilingual and geopolitical bias,11,extracted,data/paper_cache/text/john-vs-ahmed-debate-induced-bias-in-multilingual-llms-867322b33a.txt,pdf_pypdf,83493,True,
large-language-model-prediction-capabilities-evidence-from-a-real-world-13ce0d973f,Large Language Model Prediction Capabilities: Evidence from a Real-World Forecasting Tournament,2023,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,26,extracted,data/paper_cache/text/large-language-model-prediction-capabilities-evidence-from-a-real-world-13ce0d973f.txt,pdf_pypdf,44233,False,
large-language-models-and-political-science-9335d6c193,Large language models and political science,2023,Important,"Foundations, Surveys, and Methods",Political science and computational social science overviews,36,extracted,data/paper_cache/text/large-language-models-and-political-science-9335d6c193.txt,html,76414,True,
large-language-models-as-a-substitute-for-human-experts-in-83dbeff693,Large language models as a substitute for human experts in annotating political text,2024,Important,"Politics, Democracy, Public Opinion, and Persuasion","Public opinion, polling, and political annotation",94,extracted,data/paper_cache/text/large-language-models-as-a-substitute-for-human-experts-in-83dbeff693.txt,html,2255,False,
large-language-models-as-agents-for-augmented-democracy-260fd24e9e,Large Language Models as agents for augmented democracy,2024,Important,"Policymaking, Governance, and Institutional Decision Support",Democratic governance and augmentation,n/a,extracted,data/paper_cache/text/large-language-models-as-agents-for-augmented-democracy-260fd24e9e.txt,html,9995,False,
large-language-models-as-subpopulation-representative-models-a-review-69585764ac,Large Language Models as Subpopulation Representative Models: A Review,2023,Important,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,22,extracted,data/paper_cache/text/large-language-models-as-subpopulation-representative-models-a-review-69585764ac.txt,pdf_pypdf,120000,True,
large-language-models-can-argue-in-convincing-ways-about-politics-d8bf9ff630,"Large Language Models Can Argue in Convincing Ways About Politics, But Humans Dislike AI Authors: Implications for Governance",n.d.,Important,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,36,extracted,data/paper_cache/text/large-language-models-can-argue-in-convincing-ways-about-politics-d8bf9ff630.txt,html,8118,False,
large-language-models-empowered-agent-based-modeling-and-simulation-a-c343b4d34c,Large language models empowered agent-based modeling and simulation: a survey and perspectives,2024,Curated,"Foundations, Surveys, and Methods",Social simulation and agent-based modeling reviews,400,extracted,data/paper_cache/text/large-language-models-empowered-agent-based-modeling-and-simulation-a-c343b4d34c.txt,pdf_pypdf,120000,True,
large-language-models-in-politics-and-democracy-a-comprehensive-survey-4c4bbad731,Large Language Models in Politics and Democracy: A Comprehensive Survey,2024,Core,"Foundations, Surveys, and Methods",Political science and computational social science overviews,5,extracted,data/paper_cache/text/large-language-models-in-politics-and-democracy-a-comprehensive-survey-4c4bbad731.txt,pdf_pypdf,71749,True,
large-language-models-reflect-the-ideology-of-their-creators-e8a502710a,Large language models reflect the ideology of their creators,2025,Important,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",58,extracted,data/paper_cache/text/large-language-models-reflect-the-ideology-of-their-creators-e8a502710a.txt,pdf_pypdf,103698,True,
large-language-model-powered-public-service-platforms-for-automated-case-a58e8fb1db,Large Language Model–Powered Public Service Platforms for Automated Case Assistance and Decision Support,2023,Watchlist,Peripheral and Borderline Materials,Policy-adjacent service delivery and operations,0,abstract_only,data/paper_cache/text/large-language-model-powered-public-service-platforms-for-automated-case-a58e8fb1db.txt,abstract_missing_download,1713,False,download_missing; abstract fallback
large-means-left-political-bias-in-large-language-models-increases-e2eee37ae4,Large Means Left: Political Bias in Large Language Models Increases with Their Number of Parameters,2025,Important,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",10,extracted,data/paper_cache/text/large-means-left-political-bias-in-large-language-models-increases-e2eee37ae4.txt,pdf_pypdf,43569,False,
large-scale-longitudinal-study-of-llms-during-the-2024-united-533391854c,Large-Scale Longitudinal Study of LLMs During the 2024 United States Election Season,2025,Watchlist,"Politics, Democracy, Public Opinion, and Persuasion","Elections, voters, and campaign discourse",2,extracted,data/paper_cache/text/large-scale-longitudinal-study-of-llms-during-the-2024-united-533391854c.txt,pdf_pypdf,120000,True,
leak-cheat-repeat-data-contamination-and-evaluation-malpractices-in-closed-5aae10fe63,"Leak, Cheat, Repeat: Data Contamination and Evaluation Malpractices in Closed-Source LLMs",2024,Curated,"Foundations, Surveys, and Methods","Evaluation, validity, and contamination",307,extracted,data/paper_cache/text/leak-cheat-repeat-data-contamination-and-evaluation-malpractices-in-closed-5aae10fe63.txt,pdf_pypdf,109846,True,
learning-to-extract-international-relations-from-political-context-050a31436c,Learning to Extract International Relations from Political Context,2013,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,76,missing_text,,html,0,False,no extractable text and no abstract
legigpt-party-politics-and-transport-policy-with-large-language-model-ef8008e1d4,LegiGPT: Party Politics and Transport Policy with Large Language Model,2025,Watchlist,"Politics, Democracy, Public Opinion, and Persuasion",Legislative and political-agent simulation,10,extracted,data/paper_cache/text/legigpt-party-politics-and-transport-policy-with-large-language-model-ef8008e1d4.txt,pdf_pypdf,52332,True,
leveraging-ai-in-peace-processes-a-framework-for-digital-dialogues-797b950869,Leveraging AI in peace processes: A framework for digital dialogues,2025,Curated,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,1,extracted,data/paper_cache/text/leveraging-ai-in-peace-processes-a-framework-for-digital-dialogues-797b950869.txt,html,98711,True,
llm-agents-predict-social-media-reactions-but-do-not-outperform-1ca728160c,LLM Agents Predict Social Media Reactions but Do Not Outperform Text Classifiers: Benchmarking Simulation Accuracy Using 120K+ Personas of 1511 Humans,2026,Curated,Multi-Agent Social Simulation and Synthetic Societies,"Social networks, movements, and polarization",0,extracted,data/paper_cache/text/llm-agents-predict-social-media-reactions-but-do-not-outperform-1ca728160c.txt,pdf_pypdf,99782,True,
llm-analysis-of-150-years-of-german-parliamentary-debates-on-eb19cc1e54,LLM Analysis of 150+ years of German Parliamentary Debates on Migration Reveals Shift from Post-War Solidarity to Anti-Solidarity in the Last Decade,2025,Curated,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,0,extracted,data/paper_cache/text/llm-analysis-of-150-years-of-german-parliamentary-debates-on-eb19cc1e54.txt,pdf_pypdf,120000,True,
llm-as-a-mastermind-a-survey-of-strategic-reasoning-with-c3e69cc53f,LLM as a Mastermind: A Survey of Strategic Reasoning with Large Language Models,2024,Curated,"Foundations, Surveys, and Methods",Strategic reasoning and game-theoretic reviews,115,extracted,data/paper_cache/text/llm-as-a-mastermind-a-survey-of-strategic-reasoning-with-c3e69cc53f.txt,pdf_pypdf,63753,True,
llm-generated-persona-is-a-promise-with-a-catch-3c0c1b10e3,LLM Generated Persona is a Promise with a Catch,2025,Important,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,72,extracted,data/paper_cache/text/llm-generated-persona-is-a-promise-with-a-catch-3c0c1b10e3.txt,pdf_pypdf,63782,True,
llm-powered-social-digital-twins-a-framework-for-simulating-population-c06e0c7c33,LLM Powered Social Digital Twins: A Framework for Simulating Population Behavioral Response to Policy Interventions,2026,Curated,"Policymaking, Governance, and Institutional Decision Support",Strategic and institutional decision support,1,extracted,data/paper_cache/text/llm-powered-social-digital-twins-a-framework-for-simulating-population-c06e0c7c33.txt,pdf_pypdf,26202,False,
llm-as-a-prophet-understanding-predictive-intelligence-with-prophet-arena-286f2e7609,LLM-as-a-Prophet: Understanding Predictive Intelligence with Prophet Arena,2025,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,9,extracted,data/paper_cache/text/llm-as-a-prophet-understanding-predictive-intelligence-with-prophet-arena-286f2e7609.txt,pdf_pypdf,120000,True,
llm-based-social-simulations-require-a-boundary-230c3d4ec2,LLM-Based Social Simulations Require a Boundary,2025,Important,"Foundations, Surveys, and Methods","Evaluation, validity, and contamination",11,extracted,data/paper_cache/text/llm-based-social-simulations-require-a-boundary-230c3d4ec2.txt,pdf_pypdf,104573,True,
llm-based-wargame-scenario-generation-with-domain-ontology-8620cf52f4,LLM-based wargame scenario generation with domain ontology,n.d.,Watchlist,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,0,abstract_only,data/paper_cache/text/llm-based-wargame-scenario-generation-with-domain-ontology-8620cf52f4.txt,abstract_missing_download,1243,False,download_missing; abstract fallback
llm-deliberation-evaluating-llms-with-interactive-multi-agent-negotiation-games-7a3ba39c35,LLM-Deliberation: Evaluating LLMs with Interactive Multi-Agent Negotiation Games,2023,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,65,extracted,data/paper_cache/text/llm-deliberation-evaluating-llms-with-interactive-multi-agent-negotiation-games-7a3ba39c35.txt,pdf_pypdf,120000,True,
llm-generated-messages-can-persuade-humans-on-policy-issues-b45f9cbec3,LLM-generated messages can persuade humans on policy issues,2025,Important,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,67,extracted,data/paper_cache/text/llm-generated-messages-can-persuade-humans-on-policy-issues-b45f9cbec3.txt,pdf_pypdf,74822,True,
llm4geopolitics-a-framework-leveraging-large-language-models-for-predicting-geop-89ee323022,LLM4Geopolitics: A Framework Leveraging Large Language Models for Predicting Geopolitical Events,2025,Important,"Forecasting, Geopolitical Risk, and Foresight",Geopolitical event prediction systems,0,abstract_only,data/paper_cache/text/llm4geopolitics-a-framework-leveraging-large-language-models-for-predicting-geop-89ee323022.txt,abstract_missing_download,1308,False,download_missing; abstract fallback
llms-as-strategic-actors-behavioral-alignment-risk-calibration-and-argumentation-94870d13fe,"LLMs as Strategic Actors: Behavioral Alignment, Risk Calibration, and Argumentation Framing in Geopolitical Simulations",2026,Important,"Geopolitics, Diplomacy, National Security, and Wargaming","Conflict, escalation, and geopolitical simulation",1,extracted,data/paper_cache/text/llms-as-strategic-actors-behavioral-alignment-risk-calibration-and-argumentation-94870d13fe.txt,pdf_pypdf,47649,False,
llms-can-teach-themselves-to-better-predict-the-future-63b1f20897,LLMs Can Teach Themselves to Better Predict the Future,2025,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,4,extracted,data/paper_cache/text/llms-can-teach-themselves-to-better-predict-the-future-63b1f20897.txt,pdf_pypdf,27301,False,
looking-under-the-hood-how-llms-attempt-political-persuasion-and-4f4fc6505d,Looking Under the Hood: How LLMs Attempt Political Persuasion and Microtargeting,2026,Important,"Politics, Democracy, Public Opinion, and Persuasion","Deliberation, persuasion, and information environments",1,extracted,data/paper_cache/text/looking-under-the-hood-how-llms-attempt-political-persuasion-and-4f4fc6505d.txt,html,35698,False,
managing-escalation-in-off-the-shelf-large-language-models-eac2ae2bf2,Managing Escalation in Off-the-Shelf Large Language Models,2025,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming","Conflict, escalation, and geopolitical simulation",0,extracted,data/paper_cache/text/managing-escalation-in-off-the-shelf-large-language-models-eac2ae2bf2.txt,pdf_pypdf,30026,False,
mapping-geopolitical-bias-in-11-large-language-models-a-bilingual-5359a66cbb,"Mapping Geopolitical Bias in 11 Large Language Models: A Bilingual, Dual-Framing Analysis of U.S.-China Tensions",2025,Important,"Politics, Democracy, Public Opinion, and Persuasion",Multilingual and geopolitical bias,4,extracted,data/paper_cache/text/mapping-geopolitical-bias-in-11-large-language-models-a-bilingual-5359a66cbb.txt,pdf_pypdf,29885,False,
measurement-in-the-age-of-llms-an-application-to-ideological-a53bb3729d,Measurement in the Age of LLMs: An Application to Ideological Scaling,2023,Curated,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,15,extracted,data/paper_cache/text/measurement-in-the-age-of-llms-an-application-to-ideological-a53bb3729d.txt,pdf_pypdf,95956,True,
measuring-bargaining-abilities-of-llms-a-benchmark-and-a-buyer-514b386e09,Measuring Bargaining Abilities of LLMs: A Benchmark and A Buyer-Enhancement Method,2024,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,41,extracted,data/paper_cache/text/measuring-bargaining-abilities-of-llms-a-benchmark-and-a-buyer-514b386e09.txt,pdf_pypdf,76326,True,
measuring-free-form-decision-making-inconsistency-of-language-models-in-9bdd48fe16,Measuring Free-Form Decision-Making Inconsistency of Language Models in Military Crisis Simulations,2024,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,10,extracted,data/paper_cache/text/measuring-free-form-decision-making-inconsistency-of-language-models-in-9bdd48fe16.txt,pdf_pypdf,106084,True,
measuring-political-bias-in-large-language-models-what-is-said-0e32b28e95,Measuring Political Bias in Large Language Models: What Is Said and How It Is Said,2024,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",112,extracted,data/paper_cache/text/measuring-political-bias-in-large-language-models-what-is-said-0e32b28e95.txt,pdf_pypdf,64149,True,
measuring-political-positions-from-legislative-speech-428f1c4ac5,Measuring Political Positions from Legislative Speech,2016,Core,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,155,extracted,data/paper_cache/text/measuring-political-positions-from-legislative-speech-428f1c4ac5.txt,html,22229,False,
measuring-scalar-constructs-in-social-science-with-llms-039fb7aa95,Measuring Scalar Constructs in Social Science with LLMs,2025,Curated,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,8,extracted,data/paper_cache/text/measuring-scalar-constructs-in-social-science-with-llms-039fb7aa95.txt,pdf_pypdf,106832,True,
media-source-matters-more-than-content-unveiling-political-bias-in-7e9dbd5240,Media Source Matters More Than Content: Unveiling Political Bias in LLM-Generated Citations,2025,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",4,extracted,data/paper_cache/text/media-source-matters-more-than-content-unveiling-political-bias-in-7e9dbd5240.txt,pdf_pypdf,82984,True,
mirai-evaluating-llm-agents-for-event-forecasting-75494ca597,MIRAI: Evaluating LLM Agents for Event Forecasting,2024,Core,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,33,extracted,data/paper_cache/text/mirai-evaluating-llm-agents-for-event-forecasting-75494ca597.txt,pdf_pypdf,120000,True,
more-human-than-human-measuring-chatgpt-political-bias-0ae961736d,More human than human: measuring ChatGPT political bias,2023,Important,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",407,extracted,data/paper_cache/text/more-human-than-human-measuring-chatgpt-political-bias-0ae961736d.txt,pdf_pypdf,60810,True,
