slug,title,year,importance,theme,subtheme,citationCount,status,download_url,file_path,file_type,bytes,download_reason,error,manual_path_hint,source_url,doi,arxiv
informing-human-decision-making-in-public-administration-through-nlp-algorithm-14211b38a4,Informing Human Decision-Making in Public Administration through NLP Algorithm Audits,2025,Curated,"Policymaking, Governance, and Institutional Decision Support","Accountability, auditing, and public-sector AI governance",0,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/informing-human-decision-making-in-public-administration-through-nlp-algorithm-14211b38a4.pdf,https://www.semanticscholar.org/paper/5ce73f6faaa8b9cbb5367c3c7e33d01b34bec57e,10.1145/3733155.3737371,
institutionalizing-predictive-ai-in-public-administration-algorithmic-governance-c0d7a5bf63,Institutionalizing Predictive AI in Public Administration: Algorithmic Governance and the Case of a Wildfire Forecasting System,2026,Curated,"Policymaking, Governance, and Institutional Decision Support","Accountability, auditing, and public-sector AI governance",1,manual_needed,,,,0,,,data/paper_cache/manual/institutionalizing-predictive-ai-in-public-administration-algorithmic-governance-c0d7a5bf63.pdf,https://www.semanticscholar.org/paper/1834987904af05c26069f1eeec9a3429662f7f30,10.1002/poi3.70029,
integrated-data-for-events-analysis-idea-an-event-typology-for-1663fc5425,Integrated Data for Events Analysis (IDEA): An Event Typology for Automated Events Data Development,2003,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,257,manual_needed,,,,0,,,data/paper_cache/manual/integrated-data-for-events-analysis-idea-an-event-typology-for-1663fc5425.pdf,https://www.semanticscholar.org/paper/e2ea7868124efba5283ee98f3d0db5ebb296cc86,10.1177/00223433030406009,
integrating-generative-ai-into-tactical-military-decision-making-015e3e9269,Integrating Generative AI into Tactical Military Decision-Making,2025,Watchlist,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,0,manual_needed,,,,0,,,data/paper_cache/manual/integrating-generative-ai-into-tactical-military-decision-making-015e3e9269.pdf,https://www.semanticscholar.org/paper/072939125f2c3ea02b965598f2900be1e06fe9ba,10.65243/s.9.1.2,
integrating-llm-in-agent-based-social-simulation-opportunities-and-challenges-bdf4195c0a,Integrating LLM in Agent-Based Social Simulation: Opportunities and Challenges,2025,Curated,"Foundations, Surveys, and Methods",Social simulation and agent-based modeling reviews,7,downloaded,https://arxiv.org/pdf/2507.19364,data/paper_cache/downloads/integrating-llm-in-agent-based-social-simulation-opportunities-and-challenges-bdf4195c0a.pdf,pdf,399669,arxiv,,,https://www.semanticscholar.org/paper/363636e14d23fefba385847824e0c7719de180c3,10.48550/arXiv.2507.19364,2507.19364
integrators-at-war-mediating-in-ai-assisted-resort-to-force-7bcddb119d,Integrators at War: Mediating in AI-assisted Resort-to-Force Decisions,2025,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,5,downloaded,https://arxiv.org/pdf/2501.06861,data/paper_cache/downloads/integrators-at-war-mediating-in-ai-assisted-resort-to-force-7bcddb119d.pdf,pdf,320045,arxiv,,,https://www.semanticscholar.org/paper/c42b49463eb7a3d63a4d40aa9fff463c4f2b56a5,10.1017/cfl.2025.10030,2501.06861
intelligence-analysis-a-target-centric-approach-94e1bfaab8,Intelligence Analysis: A Target-Centric Approach,2003,Important,Political Science and Strategic Judgment Foundations,Intelligence analysis and structured analytic techniques,232,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/intelligence-analysis-a-target-centric-approach-94e1bfaab8.pdf,https://www.semanticscholar.org/paper/35b5e2a9320f75122aa00612934f2ed1fc6560cd,,
intelligent-computing-social-modeling-and-methodological-innovations-in-politica-134650f91f,Intelligent Computing Social Modeling and Methodological Innovations in Political Science in the Era of Large Language Models,2024,Important,"Foundations, Surveys, and Methods",Political science and computational social science overviews,19,downloaded,https://arxiv.org/pdf/2410.16301,data/paper_cache/downloads/intelligent-computing-social-modeling-and-methodological-innovations-in-politica-134650f91f.pdf,pdf,1863090,arxiv,,,https://www.semanticscholar.org/paper/be8c344ed7728367a25b074bf98c9a7569d15f74,10.1007/s11366-025-09917-6,2410.16301
international-political-bias-in-large-language-models-a-critical-discourse-56ca8ead36,"International political bias in large language models: a critical discourse analysis of narratives in ChatGPT, LLaMA, Gemini, and DeepSeek",2026,Curated,"Politics, Democracy, Public Opinion, and Persuasion",Multilingual and geopolitical bias,0,manual_needed,,,,0,,,data/paper_cache/manual/international-political-bias-in-large-language-models-a-critical-discourse-56ca8ead36.pdf,https://www.semanticscholar.org/paper/78e428c2443856492d9f3ba45b6374778d6dd13f,10.17976/jpps/2026.01.11,
john-vs-ahmed-debate-induced-bias-in-multilingual-llms-867322b33a,John vs. Ahmed: Debate-Induced Bias in Multilingual LLMs,2024,Curated,"Politics, Democracy, Public Opinion, and Persuasion",Multilingual and geopolitical bias,11,manual_needed,,,,0,,,data/paper_cache/manual/john-vs-ahmed-debate-induced-bias-in-multilingual-llms-867322b33a.pdf,https://www.semanticscholar.org/paper/972c97a151960d8f6b16e0a570c2ccbfbf8e01e8,10.18653/v1/2024.arabicnlp-1.18,
large-language-model-prediction-capabilities-evidence-from-a-real-world-13ce0d973f,Large Language Model Prediction Capabilities: Evidence from a Real-World Forecasting Tournament,2023,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,26,downloaded,https://arxiv.org/pdf/2310.13014,data/paper_cache/downloads/large-language-model-prediction-capabilities-evidence-from-a-real-world-13ce0d973f.pdf,pdf,334068,arxiv,,,https://www.semanticscholar.org/paper/5a23700c5198e44a05336f7a2e7a7d7d183ad625,10.48550/arXiv.2310.13014,2310.13014
large-language-models-and-political-science-9335d6c193,Large language models and political science,2023,Important,"Foundations, Surveys, and Methods",Political science and computational social science overviews,36,downloaded,https://www.frontiersin.org/journals/political-science/articles/10.3389/fpos.2023.1257092/full,data/paper_cache/downloads/large-language-models-and-political-science-9335d6c193.html,html,867292,publisher_html,,,https://www.frontiersin.org/journals/political-science/articles/10.3389/fpos.2023.1257092/full,10.3389/fpos.2023.1257092,
large-language-models-as-a-substitute-for-human-experts-in-83dbeff693,Large language models as a substitute for human experts in annotating political text,2024,Important,"Politics, Democracy, Public Opinion, and Persuasion","Public opinion, polling, and political annotation",94,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/large-language-models-as-a-substitute-for-human-experts-in-83dbeff693.pdf,https://www.semanticscholar.org/paper/f8b64c2dad165c92cfb43081c7e0ed70b077ae85,10.1177/20531680241236239,
large-language-models-as-agents-for-augmented-democracy-260fd24e9e,Large Language Models as agents for augmented democracy,2024,Important,"Policymaking, Governance, and Institutional Decision Support",Democratic governance and augmentation,n/a,manual_needed,,,,0,,source_landing_page: HTTP Error 403: Forbidden,data/paper_cache/manual/large-language-models-as-agents-for-augmented-democracy-260fd24e9e.pdf,https://royalsocietypublishing.org/rsta/article/382/2285/20240100/108429/Large-language-models-LLMs-as-agents-for-augmented,,
large-language-models-as-subpopulation-representative-models-a-review-69585764ac,Large Language Models as Subpopulation Representative Models: A Review,2023,Important,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,22,downloaded,https://arxiv.org/pdf/2310.17888,data/paper_cache/downloads/large-language-models-as-subpopulation-representative-models-a-review-69585764ac.pdf,pdf,3918417,arxiv,,,https://www.semanticscholar.org/paper/306f4aa90c2f2d3f55b81a99f0068d0e8ab8d359,10.48550/arXiv.2310.17888,2310.17888
large-language-models-can-argue-in-convincing-ways-about-politics-d8bf9ff630,"Large Language Models Can Argue in Convincing Ways About Politics, But Humans Dislike AI Authors: Implications for Governance",n.d.,Important,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,36,downloaded,https://collaborate.princeton.edu/en/publications/large-language-models-can-argue-in-convincing-ways-about-politics/,data/paper_cache/downloads/large-language-models-can-argue-in-convincing-ways-about-politics-d8bf9ff630.html,html,45735,source_landing_page,,,https://collaborate.princeton.edu/en/publications/large-language-models-can-argue-in-convincing-ways-about-politics/,10.1080/00323187.2024.2335471,
large-language-models-empowered-agent-based-modeling-and-simulation-a-c343b4d34c,Large language models empowered agent-based modeling and simulation: a survey and perspectives,2024,Curated,"Foundations, Surveys, and Methods",Social simulation and agent-based modeling reviews,400,downloaded,https://arxiv.org/pdf/2312.11970,data/paper_cache/downloads/large-language-models-empowered-agent-based-modeling-and-simulation-a-c343b4d34c.pdf,pdf,1433200,arxiv,,,https://www.nature.com/articles/s41599-024-03611-3,10.1057/s41599-024-03611-3,2312.11970
large-language-models-in-politics-and-democracy-a-comprehensive-survey-4c4bbad731,Large Language Models in Politics and Democracy: A Comprehensive Survey,2024,Core,"Foundations, Surveys, and Methods",Political science and computational social science overviews,5,downloaded,https://arxiv.org/pdf/2412.04498,data/paper_cache/downloads/large-language-models-in-politics-and-democracy-a-comprehensive-survey-4c4bbad731.pdf,pdf,217183,arxiv,,,https://arxiv.org/abs/2412.04498,10.48550/arXiv.2412.04498,2412.04498
large-language-models-reflect-the-ideology-of-their-creators-e8a502710a,Large language models reflect the ideology of their creators,2025,Important,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",58,downloaded,https://arxiv.org/pdf/2410.18417,data/paper_cache/downloads/large-language-models-reflect-the-ideology-of-their-creators-e8a502710a.pdf,pdf,1709309,arxiv,,,https://www.nature.com/articles/s44387-025-00048-0,10.1038/s44387-025-00048-0,2410.18417
large-language-model-powered-public-service-platforms-for-automated-case-a58e8fb1db,Large Language Model–Powered Public Service Platforms for Automated Case Assistance and Decision Support,2023,Watchlist,Peripheral and Borderline Materials,Policy-adjacent service delivery and operations,0,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/large-language-model-powered-public-service-platforms-for-automated-case-a58e8fb1db.pdf,https://www.semanticscholar.org/paper/8098f00e197740d98a0a8af2890059f86c19003e,10.15662/ijareeie.2022.1212008,
large-means-left-political-bias-in-large-language-models-increases-e2eee37ae4,Large Means Left: Political Bias in Large Language Models Increases with Their Number of Parameters,2025,Important,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",10,downloaded,https://arxiv.org/pdf/2505.04393,data/paper_cache/downloads/large-means-left-political-bias-in-large-language-models-increases-e2eee37ae4.pdf,pdf,1341106,arxiv,,,https://www.semanticscholar.org/paper/2d635fa1b8af339e7029105fc5e0a64681d9b5e5,10.48550/arXiv.2505.04393,2505.04393
large-scale-longitudinal-study-of-llms-during-the-2024-united-533391854c,Large-Scale Longitudinal Study of LLMs During the 2024 United States Election Season,2025,Watchlist,"Politics, Democracy, Public Opinion, and Persuasion","Elections, voters, and campaign discourse",2,downloaded,https://arxiv.org/pdf/2509.18446,data/paper_cache/downloads/large-scale-longitudinal-study-of-llms-during-the-2024-united-533391854c.pdf,pdf,4108069,arxiv,,,https://arxiv.org/abs/2509.18446,10.48550/arXiv.2509.18446,2509.18446
leak-cheat-repeat-data-contamination-and-evaluation-malpractices-in-closed-5aae10fe63,"Leak, Cheat, Repeat: Data Contamination and Evaluation Malpractices in Closed-Source LLMs",2024,Curated,"Foundations, Surveys, and Methods","Evaluation, validity, and contamination",307,downloaded,https://arxiv.org/pdf/2402.03927,data/paper_cache/downloads/leak-cheat-repeat-data-contamination-and-evaluation-malpractices-in-closed-5aae10fe63.pdf,pdf,1398639,arxiv,,,https://www.semanticscholar.org/paper/798feda076ad710df65d509a7884bd15937c8056,10.48550/arXiv.2402.03927,2402.03927
learning-to-extract-international-relations-from-political-context-050a31436c,Learning to Extract International Relations from Political Context,2013,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,76,manual_needed,,,,0,,,data/paper_cache/manual/learning-to-extract-international-relations-from-political-context-050a31436c.pdf,https://www.semanticscholar.org/paper/de0c0563ee36f3485b5547482cf2b9296107d716,,
legigpt-party-politics-and-transport-policy-with-large-language-model-ef8008e1d4,LegiGPT: Party Politics and Transport Policy with Large Language Model,2025,Watchlist,"Politics, Democracy, Public Opinion, and Persuasion",Legislative and political-agent simulation,10,downloaded,https://arxiv.org/pdf/2506.16692,data/paper_cache/downloads/legigpt-party-politics-and-transport-policy-with-large-language-model-ef8008e1d4.pdf,pdf,2677331,arxiv,,,https://arxiv.org/abs/2506.16692,10.1016/j.tranpol.2025.06.021,2506.16692
leveraging-ai-in-peace-processes-a-framework-for-digital-dialogues-797b950869,Leveraging AI in peace processes: A framework for digital dialogues,2025,Curated,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,1,manual_needed,,,,0,,,data/paper_cache/manual/leveraging-ai-in-peace-processes-a-framework-for-digital-dialogues-797b950869.pdf,https://www.semanticscholar.org/paper/23268b757d5bf55e094f85f0836baca537c7a3c3,10.1017/dap.2025.10031,
llm-agents-predict-social-media-reactions-but-do-not-outperform-1ca728160c,LLM Agents Predict Social Media Reactions but Do Not Outperform Text Classifiers: Benchmarking Simulation Accuracy Using 120K+ Personas of 1511 Humans,2026,Curated,Multi-Agent Social Simulation and Synthetic Societies,"Social networks, movements, and polarization",0,downloaded,https://arxiv.org/pdf/2604.19787,data/paper_cache/downloads/llm-agents-predict-social-media-reactions-but-do-not-outperform-1ca728160c.pdf,pdf,1527233,arxiv,,,https://www.semanticscholar.org/paper/2e2820837fd8fe75d5342685922d60609f6686e0,,2604.19787
llm-analysis-of-150-years-of-german-parliamentary-debates-on-eb19cc1e54,LLM Analysis of 150+ years of German Parliamentary Debates on Migration Reveals Shift from Post-War Solidarity to Anti-Solidarity in the Last Decade,2025,Curated,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,0,downloaded,https://arxiv.org/pdf/2509.07274,data/paper_cache/downloads/llm-analysis-of-150-years-of-german-parliamentary-debates-on-eb19cc1e54.pdf,pdf,4617502,arxiv,,,https://www.semanticscholar.org/paper/7fb6820f4dd56bece31a63bc8d19e9d249c83b24,10.48550/arXiv.2509.07274,2509.07274
llm-as-a-mastermind-a-survey-of-strategic-reasoning-with-c3e69cc53f,LLM as a Mastermind: A Survey of Strategic Reasoning with Large Language Models,2024,Curated,"Foundations, Surveys, and Methods",Strategic reasoning and game-theoretic reviews,115,downloaded,https://arxiv.org/pdf/2404.01230,data/paper_cache/downloads/llm-as-a-mastermind-a-survey-of-strategic-reasoning-with-c3e69cc53f.pdf,pdf,886671,arxiv,,,https://www.semanticscholar.org/paper/ac8bc36c253c8593492afc2db620c01b152dc778,10.48550/arXiv.2404.01230,2404.01230
llm-generated-persona-is-a-promise-with-a-catch-3c0c1b10e3,LLM Generated Persona is a Promise with a Catch,2025,Important,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,72,downloaded,https://arxiv.org/pdf/2503.16527,data/paper_cache/downloads/llm-generated-persona-is-a-promise-with-a-catch-3c0c1b10e3.pdf,pdf,28327862,arxiv,,,https://www.semanticscholar.org/paper/3ea29481ec11d1568fde727d236f71e44e4e2ad0,10.48550/arXiv.2503.16527,2503.16527
llm-powered-social-digital-twins-a-framework-for-simulating-population-c06e0c7c33,LLM Powered Social Digital Twins: A Framework for Simulating Population Behavioral Response to Policy Interventions,2026,Curated,"Policymaking, Governance, and Institutional Decision Support",Strategic and institutional decision support,1,downloaded,https://arxiv.org/pdf/2601.06111,data/paper_cache/downloads/llm-powered-social-digital-twins-a-framework-for-simulating-population-c06e0c7c33.pdf,pdf,310617,arxiv,,,https://www.semanticscholar.org/paper/063a4e8d7dbde3cd6214c1e68ce83594f5936386,10.48550/arXiv.2601.06111,2601.06111
llm-as-a-prophet-understanding-predictive-intelligence-with-prophet-arena-286f2e7609,LLM-as-a-Prophet: Understanding Predictive Intelligence with Prophet Arena,2025,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,9,downloaded,https://arxiv.org/pdf/2510.17638,data/paper_cache/downloads/llm-as-a-prophet-understanding-predictive-intelligence-with-prophet-arena-286f2e7609.pdf,pdf,2629057,arxiv,,,https://www.semanticscholar.org/paper/70c1ab60e9c8411426846cdad6a5258d1f816cbf,10.48550/arXiv.2510.17638,2510.17638
llm-based-social-simulations-require-a-boundary-230c3d4ec2,LLM-Based Social Simulations Require a Boundary,2025,Important,"Foundations, Surveys, and Methods","Evaluation, validity, and contamination",11,downloaded,https://arxiv.org/pdf/2506.19806,data/paper_cache/downloads/llm-based-social-simulations-require-a-boundary-230c3d4ec2.pdf,pdf,489891,arxiv,,,https://www.semanticscholar.org/paper/345a35ad4020dee737cb905239af9234584fbd33,10.48550/arXiv.2506.19806,2506.19806
llm-based-wargame-scenario-generation-with-domain-ontology-8620cf52f4,LLM-based wargame scenario generation with domain ontology,n.d.,Watchlist,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,0,manual_needed,,,,0,,source_landing_page: HTTP Error 403: Forbidden,data/paper_cache/manual/llm-based-wargame-scenario-generation-with-domain-ontology-8620cf52f4.pdf,https://journals.sagepub.com/doi/10.1177/00375497251415245,10.1177/00375497251415245,
llm-deliberation-evaluating-llms-with-interactive-multi-agent-negotiation-games-7a3ba39c35,LLM-Deliberation: Evaluating LLMs with Interactive Multi-Agent Negotiation Games,2023,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,65,downloaded,https://arxiv.org/pdf/2309.17234,data/paper_cache/downloads/llm-deliberation-evaluating-llms-with-interactive-multi-agent-negotiation-games-7a3ba39c35.pdf,pdf,5066709,arxiv,,,https://www.semanticscholar.org/paper/f3bcb9395d8b912361cc534f00e837c832000150,10.48550/arXiv.2309.17234,
llm-generated-messages-can-persuade-humans-on-policy-issues-b45f9cbec3,LLM-generated messages can persuade humans on policy issues,2025,Important,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,67,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/llm-generated-messages-can-persuade-humans-on-policy-issues-b45f9cbec3.pdf,https://www.semanticscholar.org/paper/da2ed9d7804f138a1108089891fd07df15a70a3a,10.1038/s41467-025-61345-5,
llm4geopolitics-a-framework-leveraging-large-language-models-for-predicting-geop-89ee323022,LLM4Geopolitics: A Framework Leveraging Large Language Models for Predicting Geopolitical Events,2025,Important,"Forecasting, Geopolitical Risk, and Foresight",Geopolitical event prediction systems,0,manual_needed,,,,0,,source_landing_page: HTTP Error 403: Forbidden,data/paper_cache/manual/llm4geopolitics-a-framework-leveraging-large-language-models-for-predicting-geop-89ee323022.pdf,https://onlinelibrary.wiley.com/doi/10.1111/exsy.70258,10.1111/exsy.70258,
llms-as-strategic-actors-behavioral-alignment-risk-calibration-and-argumentation-94870d13fe,"LLMs as Strategic Actors: Behavioral Alignment, Risk Calibration, and Argumentation Framing in Geopolitical Simulations",2026,Important,"Geopolitics, Diplomacy, National Security, and Wargaming","Conflict, escalation, and geopolitical simulation",1,downloaded,https://arxiv.org/pdf/2603.02128,data/paper_cache/downloads/llms-as-strategic-actors-behavioral-alignment-risk-calibration-and-argumentation-94870d13fe.pdf,pdf,3221872,arxiv,,,https://arxiv.org/abs/2603.02128,,2603.02128
llms-can-teach-themselves-to-better-predict-the-future-63b1f20897,LLMs Can Teach Themselves to Better Predict the Future,2025,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,4,downloaded,https://arxiv.org/pdf/2502.05253,data/paper_cache/downloads/llms-can-teach-themselves-to-better-predict-the-future-63b1f20897.pdf,pdf,550082,arxiv,,,https://www.semanticscholar.org/paper/4fd865860aa5508e092201b6b321926d84ef2ace,10.48550/arXiv.2502.05253,2502.05253
looking-under-the-hood-how-llms-attempt-political-persuasion-and-4f4fc6505d,Looking Under the Hood: How LLMs Attempt Political Persuasion and Microtargeting,2026,Important,"Politics, Democracy, Public Opinion, and Persuasion","Deliberation, persuasion, and information environments",1,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/looking-under-the-hood-how-llms-attempt-political-persuasion-and-4f4fc6505d.pdf,https://www.semanticscholar.org/paper/0f0f6e16b4f9cb45cda4f38f377c676725eac2aa,10.1007/s41111-026-00336-3,
managing-escalation-in-off-the-shelf-large-language-models-eac2ae2bf2,Managing Escalation in Off-the-Shelf Large Language Models,2025,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming","Conflict, escalation, and geopolitical simulation",0,downloaded,https://arxiv.org/pdf/2508.01056,data/paper_cache/downloads/managing-escalation-in-off-the-shelf-large-language-models-eac2ae2bf2.pdf,pdf,605603,arxiv,,,https://www.semanticscholar.org/paper/ec7922ef52feca9f78f4f2a9062e7b71ef71d5c3,10.48550/arXiv.2508.01056,2508.01056
mapping-geopolitical-bias-in-11-large-language-models-a-bilingual-5359a66cbb,"Mapping Geopolitical Bias in 11 Large Language Models: A Bilingual, Dual-Framing Analysis of U.S.-China Tensions",2025,Important,"Politics, Democracy, Public Opinion, and Persuasion",Multilingual and geopolitical bias,4,downloaded,https://arxiv.org/pdf/2503.23688,data/paper_cache/downloads/mapping-geopolitical-bias-in-11-large-language-models-a-bilingual-5359a66cbb.pdf,pdf,1316286,arxiv,,,https://www.semanticscholar.org/paper/e1bd56bf0964cdb979cc6ba65c8b93a79eb8b8e5,10.48550/arXiv.2503.23688,2503.23688
measurement-in-the-age-of-llms-an-application-to-ideological-a53bb3729d,Measurement in the Age of LLMs: An Application to Ideological Scaling,2023,Curated,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,15,downloaded,https://arxiv.org/pdf/2312.09203,data/paper_cache/downloads/measurement-in-the-age-of-llms-an-application-to-ideological-a53bb3729d.pdf,pdf,968050,arxiv,,,https://www.semanticscholar.org/paper/f1847c5693f7dac9ba89b3e0571ee27cfca720dc,10.48550/arXiv.2312.09203,2312.09203
measuring-bargaining-abilities-of-llms-a-benchmark-and-a-buyer-514b386e09,Measuring Bargaining Abilities of LLMs: A Benchmark and A Buyer-Enhancement Method,2024,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,41,downloaded,https://arxiv.org/pdf/2402.15813,data/paper_cache/downloads/measuring-bargaining-abilities-of-llms-a-benchmark-and-a-buyer-514b386e09.pdf,pdf,855976,arxiv,,,https://www.semanticscholar.org/paper/f85ec64b14494216702d5218f58e725224ad80aa,10.48550/arXiv.2402.15813,2402.15813
measuring-free-form-decision-making-inconsistency-of-language-models-in-9bdd48fe16,Measuring Free-Form Decision-Making Inconsistency of Language Models in Military Crisis Simulations,2024,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,10,downloaded,https://arxiv.org/pdf/2410.13204,data/paper_cache/downloads/measuring-free-form-decision-making-inconsistency-of-language-models-in-9bdd48fe16.pdf,pdf,676372,arxiv,,,https://www.semanticscholar.org/paper/52495428476931949de8c4a5ac67c7d9af9897a8,10.48550/arXiv.2410.13204,2410.13204
measuring-political-bias-in-large-language-models-what-is-said-0e32b28e95,Measuring Political Bias in Large Language Models: What Is Said and How It Is Said,2024,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",112,downloaded,https://arxiv.org/pdf/2403.18932,data/paper_cache/downloads/measuring-political-bias-in-large-language-models-what-is-said-0e32b28e95.pdf,pdf,3845250,arxiv,,,https://www.semanticscholar.org/paper/8f77307a394f006633c27cca56a345c0879eb67c,10.48550/arXiv.2403.18932,2403.18932
measuring-political-positions-from-legislative-speech-428f1c4ac5,Measuring Political Positions from Legislative Speech,2016,Core,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,155,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/measuring-political-positions-from-legislative-speech-428f1c4ac5.pdf,https://www.semanticscholar.org/paper/78073f687117e15ca4786def603d1509d09c99bf,10.1093/pan/mpw017,
measuring-scalar-constructs-in-social-science-with-llms-039fb7aa95,Measuring Scalar Constructs in Social Science with LLMs,2025,Curated,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,8,downloaded,https://arxiv.org/pdf/2509.03116,data/paper_cache/downloads/measuring-scalar-constructs-in-social-science-with-llms-039fb7aa95.pdf,pdf,1195780,arxiv,,,https://www.semanticscholar.org/paper/26730e1800a33de13aa8ce01f1400b4818e9de42,10.48550/arXiv.2509.03116,2509.03116
media-source-matters-more-than-content-unveiling-political-bias-in-7e9dbd5240,Media Source Matters More Than Content: Unveiling Political Bias in LLM-Generated Citations,2025,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",4,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/media-source-matters-more-than-content-unveiling-political-bias-in-7e9dbd5240.pdf,https://www.semanticscholar.org/paper/8be09e69ebbcfbcfa93c912146ed8ea9cb665862,10.18653/v1/2025.emnlp-main.872,
mirai-evaluating-llm-agents-for-event-forecasting-75494ca597,MIRAI: Evaluating LLM Agents for Event Forecasting,2024,Core,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,33,downloaded,https://arxiv.org/pdf/2407.01231,data/paper_cache/downloads/mirai-evaluating-llm-agents-for-event-forecasting-75494ca597.pdf,pdf,8688882,arxiv,,,https://arxiv.org/abs/2407.01231,10.48550/arXiv.2407.01231,2407.01231
more-human-than-human-measuring-chatgpt-political-bias-0ae961736d,More human than human: measuring ChatGPT political bias,2023,Important,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",407,downloaded,https://link.springer.com/content/pdf/10.1007/s11127-023-01097-2.pdf?error=cookies_not_supported&code=a000c41d-28a4-485b-87fb-2b12b0eb65d5,data/paper_cache/downloads/more-human-than-human-measuring-chatgpt-political-bias-0ae961736d.pdf,pdf,2899230,semantic_scholar_open_access_pdf,,,https://www.semanticscholar.org/paper/3d8a3517231643c1df79bc32c8c2664a4cba3a41,10.1007/s11127-023-01097-2,
more-than-an-it-system-in-the-government-the-work-ba0152ea61,More than an IT system in the government: The work divide challenges in human-AI coworking context,2024,Curated,"Policymaking, Governance, and Institutional Decision Support",Public-sector decision support and institutional workflow,2,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/more-than-an-it-system-in-the-government-the-work-ba0152ea61.pdf,https://www.semanticscholar.org/paper/e5e9871ac048cbc28b004289496e03ac5c76dd9d,10.1145/3657054.3657058,
multi-agent-risks-from-advanced-ai-8945ba949f,Multi-Agent Risks from Advanced AI,2025,Watchlist,Peripheral and Borderline Materials,Generic AI safety and language-bias background,127,downloaded,https://arxiv.org/pdf/2502.14143,data/paper_cache/downloads/multi-agent-risks-from-advanced-ai-8945ba949f.pdf,pdf,4061553,arxiv,,,https://www.semanticscholar.org/paper/4c1a51f7b4d97e93564e3a4728dc6ad2bd28e4b6,10.48550/arXiv.2502.14143,2502.14143
multi-agent-strategic-games-with-llms-fdbd1666b7,Multi-Agent Strategic Games with LLMs,2026,Curated,"Strategic Reasoning, Games, Negotiation, and Cooperation",Game-theoretic and strategic reasoning benchmarks,0,downloaded,https://arxiv.org/pdf/2605.03604,data/paper_cache/downloads/multi-agent-strategic-games-with-llms-fdbd1666b7.pdf,pdf,1236895,arxiv,,,https://www.semanticscholar.org/paper/58b591a6b644d5c0767abff1804ed46d7b5e60d9,,2605.03604
multi-agent-human-agent-and-beyond-a-survey-on-cooperation-2cd8564809,"Multi-Agent, Human-Agent and Beyond: A Survey on Cooperation in Social Dilemmas",2024,Curated,"Foundations, Surveys, and Methods",Strategic reasoning and game-theoretic reviews,32,downloaded,https://arxiv.org/pdf/2402.17270,data/paper_cache/downloads/multi-agent-human-agent-and-beyond-a-survey-on-cooperation-2cd8564809.pdf,pdf,1205657,arxiv,,,https://www.semanticscholar.org/paper/844fdeb5089e6d1bb99fe3c8a830bf7f722ba910,10.48550/arXiv.2402.17270,2402.17270
